		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  264  243  223  242  255  251  231  258  5.835484 0.665654 SUCCESS   0
000000011  254  239  241  215  240  232  251  236  5.334498 0.721299 SUCCESS   1
000000101  249  264  231  275  237  248  238  219  9.654843 0.290092 SUCCESS   2
000000111  251  239  246  230  236  227  232  251  3.516966 0.897869 SUCCESS   3
000001001  216  261  241  252  245  250  214  272 12.148124 0.144716 SUCCESS   4
000001011  244  259  215  255  260  268  260  231 10.312586 0.243768 SUCCESS   5
000001101  242  252  210  233  258  224  251  245  8.474930 0.388503 SUCCESS   6
000001111  268  236  238  228  239  210  240  261 10.278693 0.246008 SUCCESS   7
000010001  261  215  262  250  270  225  218  258 14.393559 0.072067 SUCCESS   8
000010011  228  248  243  263  211  241  224  271 12.146005 0.144807 SUCCESS   9
000010101  269  259  251  258  226  227  256  237  8.021606 0.431362 SUCCESS  10
000010111  232  246  240  253  256  262  271  246  6.069560 0.639440 SUCCESS  11
000011001  233  230  232  260  227  254  254  250  5.275185 0.727800 SUCCESS  12
000011011  275  245  253  226  241  239  255  222  8.495054 0.386663 SUCCESS  13
000011101  247  227  254  250  272  234  256  226  7.552395 0.478367 SUCCESS  14
000011111  268  253  257  224  248  219  250  256  8.648634 0.372798 SUCCESS  15
000100011  231  238  270  255  256  244  237  243  5.044286 0.752832 SUCCESS  16
000100101  237  245  251  246  241  225  273  241  5.598231 0.692134 SUCCESS  17
000100111  228  245  235  236  196  251  241  248 11.854734 0.157804 SUCCESS  18
000101001  243  258  266  249  241  256  230  216  7.784353 0.454814 SUCCESS  19
000101011  248  260  229  264  225  234  244  221  8.023725 0.431156 SUCCESS  20
000101101  241  244  246  258  257  243  244  242  1.598814 0.990943 SUCCESS  21
000101111  243  260  223  263  246  247  241  247  4.599436 0.799404 SUCCESS  22
